Altium Designer Pick and Place Locations
G:\My Drive\Graduate\Project\Haptic Assistance Navigation Device\PCB Design\For JLC\final\fpc\hand_fpc_v1_origin_footprint_final_version\Project Outputs for hand_fpc_v1\Pick Place for hand_fpc.csv

========================================================================================================================
File Design Information:

Date:       28 05 24
Time:       21:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C26","C1206_FPC","23.4188mm","124.0536mm","23.4188mm","124.0536mm","21.8262mm","124.0536mm","TopLayer","0","100nF"
"C27","C1206_FPC","27.3812mm","67.2592mm","27.3812mm","67.2592mm","28.9738mm","67.2592mm","TopLayer","180","100nF"
"C28","C1206_FPC","76.9112mm","116.7547mm","76.9112mm","116.7547mm","78.5038mm","116.7547mm","TopLayer","180","100nF"
"C29","C1206_FPC","23.3934mm","126.5936mm","23.3934mm","126.5936mm","21.8008mm","126.5936mm","TopLayer","0","100nF"
"C30","C1206_FPC","76.5556mm","60.5536mm","76.5556mm","60.5536mm","76.5556mm","62.1462mm","TopLayer","270","100nF"
"C31","C1206_FPC","76.5556mm","54.3814mm","76.5556mm","54.3814mm","76.5556mm","52.7888mm","TopLayer","90","4.7uF"
"C32","C1206_FPC","17.7800mm","68.7324mm","17.7800mm","68.7324mm","17.7800mm","70.3250mm","TopLayer","270","100nF"
"C33","C1206_FPC","17.2212mm","116.0272mm","17.2212mm","116.0272mm","17.2212mm","114.4346mm","TopLayer","90","100nF"
"C34","C1206_FPC","34.5760mm","124.0536mm","34.5760mm","124.0536mm","32.9834mm","124.0536mm","TopLayer","0","100nF"
"C35","C1206_FPC","34.5760mm","126.5936mm","34.5760mm","126.5936mm","32.9834mm","126.5936mm","TopLayer","0","100nF"
"C36","C1206_FPC","52.0446mm","89.7128mm","52.0446mm","89.7128mm","53.6372mm","89.7128mm","TopLayer","180","100nF"
"C37","C1206_FPC","52.0446mm","92.5576mm","52.0446mm","92.5576mm","50.4520mm","92.5576mm","TopLayer","0","100nF"
"C38","C1206_FPC","76.9112mm","66.4718mm","76.9112mm","66.4718mm","78.5038mm","66.4718mm","TopLayer","180","100nF"
"C39","C1206_FPC","66.5988mm","116.5606mm","66.5988mm","116.5606mm","65.0062mm","116.5606mm","TopLayer","0","100nF"
"C40","C1206_FPC","35.2044mm","57.7850mm","35.2044mm","57.7850mm","33.6118mm","57.7850mm","TopLayer","0","100nF"
"C41","C1206_FPC","35.2044mm","60.4012mm","35.2044mm","60.4012mm","33.6118mm","60.4012mm","TopLayer","0","100nF"
"C42","C1206_FPC","65.7860mm","66.8782mm","65.7860mm","66.8782mm","64.1934mm","66.8782mm","TopLayer","0","100nF"
"C43","C1206_FPC","27.2542mm","117.7544mm","27.2542mm","117.7544mm","28.8468mm","117.7544mm","TopLayer","180","100nF"
"C44","C1206_FPC","23.1902mm","55.4482mm","23.1902mm","55.4482mm","21.5976mm","55.4482mm","TopLayer","0","100nF"
"C45","C1206_FPC","75.2856mm","121.0310mm","75.2856mm","121.0310mm","75.2856mm","119.4384mm","TopLayer","90","100nF"
"C46","C1206_FPC","23.2099mm","58.5744mm","23.2099mm","58.5744mm","21.6173mm","58.5744mm","TopLayer","0","100nF"
"C47","C1206_FPC","78.0034mm","121.0386mm","78.0034mm","121.0386mm","78.0034mm","119.4460mm","TopLayer","90","4.7uF"
"R29","R1206_FPC","27.0002mm","64.2923mm","27.0002mm","64.2923mm","28.4790mm","64.2923mm","TopLayer","180","22£["
"R30","R1206_FPC","72.2376mm","112.5474mm","72.2376mm","112.5474mm","70.7588mm","112.5474mm","TopLayer","0","22£["
"R31","R1206_FPC","47.2186mm","83.9216mm","47.2186mm","83.9216mm","47.2186mm","82.4428mm","TopLayer","90","22£["
"R32","R1206_FPC","71.7550mm","61.8744mm","71.7550mm","61.8744mm","70.2762mm","61.8744mm","TopLayer","0","22£["
"R33","R1206_FPC","27.0384mm","114.4966mm","27.0384mm","114.4966mm","28.5172mm","114.4966mm","TopLayer","180","22£["
"U8","XDCR_CH-101","18.0586mm","125.3541mm","18.0586mm","125.3541mm","16.6336mm","126.5541mm","TopLayer","0","CH-101"
"U9","B54102H1020A001","66.6326mm","115.7641mm","71.8076mm","115.9891mm","66.6076mm","121.1891mm","BottomLayer","90","B54102H1020A001"
"U10","SENSOR_VL53L1CXV0FY/1","72.0033mm","56.9211mm","72.0033mm","56.9211mm","73.6033mm","56.1211mm","TopLayer","270","VL53L1CXV0FY/1"
"U11","B54102H1020A001","66.6326mm","65.7641mm","71.8076mm","65.9891mm","66.6076mm","71.1891mm","BottomLayer","90","B54102H1020A001"
"U12","LGA-12_L2.0-W2.0-P0.50-TL","21.8076mm","65.9891mm","21.8076mm","65.9891mm","22.7825mm","65.2392mm","TopLayer","180","KX132-1211"
"U13","LGA-12_L2.0-W2.0-P0.50-TL","71.8076mm","115.9891mm","71.8076mm","115.9891mm","72.7825mm","115.2392mm","TopLayer","180","KX132-1211"
"U14","XDCR_CH-101","29.0586mm","125.3541mm","29.0586mm","125.3541mm","27.6336mm","126.5541mm","TopLayer","0","CH-101"
"U15","BMI323","46.8076mm","90.9891mm","46.8076mm","90.9891mm","46.0576mm","89.8261mm","TopLayer","90","BMI323"
"U16","XDCR_CH-101","18.0586mm","56.9211mm","18.0586mm","56.9211mm","16.6336mm","58.1211mm","TopLayer","0","CH-101"
"U17","LGA-12_L2.0-W2.0-P0.50-TL","71.8076mm","65.9891mm","71.8076mm","65.9891mm","72.7825mm","65.2392mm","TopLayer","180","KX132-1211"
"U18","LGA-12_L2.0-W2.0-P0.50-TL","21.8076mm","115.9891mm","21.8076mm","115.9891mm","22.7825mm","115.2392mm","TopLayer","180","KX132-1211"
"U19","SENSOR_VL53L1CXV0FY/1","72.0033mm","125.3541mm","72.0033mm","125.3541mm","73.6033mm","124.5541mm","TopLayer","270","VL53L1CXV0FY/1"
"U20","XDCR_CH-101","29.0586mm","56.9211mm","29.0586mm","56.9211mm","27.6336mm","58.1211mm","TopLayer","0","CH-101"
"U21","B54102H1020A001","26.9826mm","66.2141mm","21.8076mm","65.9891mm","27.0076mm","60.7891mm","BottomLayer","270","B54102H1020A001"
"U22","B54102H1020A001","26.9826mm","116.2141mm","21.8076mm","115.9891mm","27.0076mm","110.7891mm","BottomLayer","270","B54102H1020A001"
